,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
3,"frozenset({'soy lactosefree', 'frozen vegan vegetarian'})",frozenset({'fresh fruits'}),0.0011261261261261261,0.14977477477477477,0.0011261261261261261,1.0,6.676691729323308,0.000957460839217596,inf
4,"frozenset({'soy lactosefree', 'fresh fruits'})",frozenset({'frozen vegan vegetarian'}),0.0011261261261261261,0.00563063063063063,0.0011261261261261261,1.0,177.6,0.0011197853258664069,inf
5,"frozenset({'frozen vegan vegetarian', 'fresh fruits'})",frozenset({'soy lactosefree'}),0.0011261261261261261,0.021396396396396396,0.0011261261261261261,1.0,46.73684210526316,0.0011020310851391933,inf
8,"frozenset({'popcorn jerky', 'mint gum'})",frozenset({'fresh fruits'}),0.0011261261261261261,0.14977477477477477,0.0011261261261261261,1.0,6.676691729323308,0.000957460839217596,inf
9,"frozenset({'popcorn jerky', 'fresh fruits'})",frozenset({'mint gum'}),0.0011261261261261261,0.0022522522522522522,0.0011261261261261261,1.0,444.0,0.0011235898060222385,inf
10,"frozenset({'mint gum', 'fresh fruits'})",frozenset({'popcorn jerky'}),0.0011261261261261261,0.007882882882882882,0.0011261261261261261,1.0,126.85714285714288,0.0011172490057625192,inf
16,"frozenset({'candy chocolate', 'paper goods'})",frozenset({'chips pretzels'}),0.0011261261261261261,0.039414414414414414,0.0011261261261261261,1.0,25.37142857142857,0.0010817405243080918,inf
18,"frozenset({'paper goods', 'chips pretzels'})",frozenset({'candy chocolate'}),0.0011261261261261261,0.021396396396396396,0.0011261261261261261,1.0,46.73684210526316,0.0011020310851391933,inf
19,"frozenset({'yogurt', 'packaged cheese'})",frozenset({'fresh fruits'}),0.0011261261261261261,0.14977477477477477,0.0011261261261261261,1.0,6.676691729323308,0.000957460839217596,inf
20,"frozenset({'packaged cheese', 'fresh fruits'})",frozenset({'yogurt'}),0.0011261261261261261,0.10923423423423423,0.0011261261261261261,1.0,9.154639175257733,0.001003114601087574,inf
